rank,band_index,drl_score_sorted
1,70,0.48198689956331875
2,158,0.4812686738680763
3,178,0.48110879058287453
4,6,0.4809128046203689
5,2,0.48080108417406997
6,194,0.4807860262008731
7,115,0.48053129548762724
8,176,0.4802209093244283
9,34,0.4801067442988839
10,99,0.4800298221322824
11,94,0.48001343634531407
12,142,0.4799854439592429
13,53,0.4798896805332106
14,93,0.47968483007404594
15,73,0.47957302280446373
16,71,0.4795041555148611
17,54,0.4794458665863573
18,117,0.4793907764405155
19,200,0.47929528685438927
20,44,0.4791691254573349
21,145,0.479130699705494
22,65,0.47910168434185896
23,208,0.4790511035052517
24,175,0.4789217332885454
25,58,0.4788937409024745
26,60,0.4788554355320615
27,199,0.478848253275109
28,182,0.47879670063076174
29,195,0.47877729257641916
30,103,0.4787405194208228
31,185,0.47871179039301304
32,187,0.478711790393013
33,127,0.4786796814795786
34,63,0.47865114022319244
35,132,0.4785702733300986
36,64,0.47856292179436277
37,155,0.47854238819454886
38,52,0.47847785402370535
39,210,0.4784085395439107
40,19,0.478355800265806
41,109,0.4783338931810547
42,113,0.4783024017467247
43,123,0.4782751091703055
44,10,0.4782651845970623
45,84,0.47824680575772266
46,204,0.4782144590004852
47,49,0.47816593886462877
48,171,0.4781659388646287
49,98,0.47816593886462866
50,83,0.4781174187287724
51,81,0.4781069278885871
52,1,0.4781035558328135
53,121,0.47807860262008717
54,179,0.47807496360989815
55,147,0.47806196714493654
56,45,0.47802037845705947
57,143,0.47801360820554467
58,148,0.47800617744168694
59,66,0.4779889059365041
60,101,0.47797878976918257
61,88,0.4779546414988025
62,76,0.477947598253275
63,13,0.4779233381853469
64,40,0.4778682016673283
65,152,0.4778540237055518
66,11,0.47780203784570596
67,29,0.47775005198585985
68,51,0.4777062744196735
69,92,0.4776980661260136
70,139,0.4776980661260136
71,172,0.47769806612601357
72,136,0.47768073750606493
73,3,0.4776679690492607
74,177,0.4776620759153509
75,137,0.4776348400802548
76,108,0.4776348400802548
77,202,0.4775998706129711
78,149,0.4775836972343521
79,8,0.47755458515283844
80,50,0.4775291120815139
81,102,0.47748833007077235
82,56,0.477438136826783
83,196,0.47740428556920883
84,118,0.4773572699336892
85,25,0.4772727272727273
86,67,0.47718340611353705
87,100,0.4771384536347288
88,86,0.4771094520354978
89,131,0.4770742358078602
90,111,0.4770365908748681
91,7,0.4770305676855895
92,201,0.47701677775224083
93,192,0.47699025864964734
94,82,0.4769902586496473
95,112,0.476968587124947
96,186,0.4769377729257641
97,110,0.4769267083677563
98,107,0.4769182782283218
99,146,0.47688601114290013
100,173,0.47688158232725386
101,90,0.47687574434299324
102,9,0.4768426624321822
103,104,0.47681873083712717
104,154,0.47681430650862955
105,122,0.47671033478893715
106,205,0.4766375545851528
107,57,0.4765848516789639
108,15,0.4765818991351999
109,161,0.4765647743813682
110,17,0.47655711330728556
111,183,0.47654238047251124
112,207,0.4765283842794759
113,24,0.47648159700561427
114,197,0.4764342719469959
115,190,0.47641921397379916
116,120,0.4764085632122697
117,170,0.47640856321226965
118,12,0.47637951568082565
119,126,0.476362255553446
120,165,0.4763365986073409
121,141,0.476327281084808
122,153,0.47628719406925973
123,151,0.4762123649735692
124,189,0.4762064718396596
125,203,0.47619554798168057
126,160,0.4761331124830599
127,55,0.47610729881472225
128,167,0.47610383309073256
129,31,0.4760840865238143
130,134,0.4760681565202499
131,35,0.47598253275109165
132,18,0.4759825327510916
133,77,0.4759825327510916
134,62,0.4759825327510916
135,106,0.4759825327510916
136,193,0.47598253275109154
137,22,0.4758645107990085
138,79,0.47575270052861407
139,133,0.47571787746460226
140,46,0.4757096069868994
141,74,0.47570080292999006
142,135,0.47566300990520816
143,184,0.4756550218340611
144,138,0.4755855498213577
145,162,0.4755855498213575
146,209,0.47557314410480334
147,169,0.47553693966669636
148,68,0.4755346545739559
149,42,0.4755228683061364
150,33,0.4754973313925278
151,39,0.4754786698018138
152,124,0.47546267415263055
153,32,0.475453222178113
154,164,0.4754532221781128
155,28,0.4754226850296719
156,174,0.47539242299067613
157,5,0.47537321011475575
158,168,0.47535870243293815
159,38,0.4753107154853878
160,129,0.4752878126240572
161,20,0.4752838427947597
162,21,0.4752782081983376
163,91,0.4752744010385931
164,95,0.4752547307132461
165,159,0.4752296340912512
166,69,0.47521834061135354
167,181,0.4752027448533997
168,23,0.4750790543592831
169,191,0.47505623924837886
170,27,0.47505623924837886
171,47,0.475012130033964
172,36,0.4749938205487354
173,43,0.4749550475211918
174,163,0.47494828774994235
175,26,0.474890829694323
176,4,0.47485039624777603
177,16,0.47481804949053846
178,89,0.4747348721147847
179,78,0.47473487211478466
180,130,0.47471474855613455
181,105,0.47457891453524664
182,188,0.47447673543141083
183,180,0.4744636415416746
184,80,0.47446364154167453
185,37,0.4743449781659388
186,0,0.4742358078602621
187,96,0.474235807860262
188,61,0.47423580786026187
189,85,0.47420851528384267
190,119,0.4741630276564773
191,48,0.47396708095398044
192,72,0.47392756229129196
193,116,0.4738799935306484
194,97,0.47363117232112856
195,114,0.4735565259582726
196,41,0.47351433453578884
197,14,0.47346321800470265
198,59,0.4734436884330252
199,157,0.47325327510917026
200,166,0.4731273093718509
201,30,0.47302851271512963
202,75,0.47297093811173
203,87,0.4729500242600678
204,150,0.4728287239204269
205,144,0.4726234464225731
206,206,0.4720010274852298
207,156,0.47196506550218337
208,198,0.47173063663525616
209,140,0.47138588830153966
210,125,0.47110197790906755
211,128,0.47080705159307773
