rank,band_index,srpa_score_sorted
1,160,0.26174592664060475
2,133,0.26052170038576516
3,193,0.25869801108100604
4,16,0.2579565924878897
5,8,0.25603091746271905
6,155,0.25594552615183724
7,0,0.2556241503783254
8,89,0.2556025080926555
9,151,0.2551095669420001
10,69,0.253613539207944
11,200,0.2535100192542589
12,100,0.25307683335463604
13,58,0.2530461709542933
14,23,0.25268329215535457
15,176,0.2507682612713641
16,17,0.2494992035824491
17,169,0.24922116743610012
18,10,0.24878009908746268
19,165,0.24783960265992677
20,136,0.24775633961868476
21,181,0.2472561582197802
22,1,0.2469897818254574
23,82,0.24669259460319798
24,139,0.246629549019162
25,45,0.24481611058977226
26,97,0.24481467819420405
27,18,0.2446134645200449
28,5,0.24450074351549805
29,92,0.24436265500464505
30,99,0.24424924417396054
31,195,0.24366598254042077
32,201,0.24335533860343517
33,4,0.24306337095956548
34,191,0.2420564257448946
35,131,0.24187656431743837
36,150,0.24168780135268375
37,207,0.2411962756684019
38,57,0.24095127893143875
39,159,0.24068991270379303
40,21,0.24057895431881104
41,34,0.23996227258350417
42,154,0.2398250568317562
43,54,0.23946838143093885
44,156,0.23938460459754246
45,119,0.23937881759160745
46,187,0.23927238221489794
47,141,0.238853912339812
48,2,0.23862182441269614
49,93,0.23855529392299718
50,190,0.23818236364872286
51,137,0.23783447589073553
52,167,0.2371635417051739
53,13,0.2371397026267188
54,95,0.23651171020860523
55,144,0.2362378195496358
56,124,0.2361460574580771
57,35,0.236137367008877
58,61,0.236051153329349
59,164,0.23595309204571852
60,162,0.23556341013163506
61,46,0.23548705642197354
62,147,0.23531811353387494
63,108,0.23514200264033308
64,86,0.2350563717303269
65,132,0.23480001099146303
66,179,0.23444213840616146
67,9,0.23422602756623195
68,178,0.23395417807879954
69,134,0.2339221052919649
70,47,0.23386987869813108
71,15,0.23367963129623587
72,182,0.23367840208272855
73,101,0.23277805266274948
74,51,0.23260113165841112
75,126,0.23204623612884145
76,87,0.23172195934325213
77,152,0.23164033680278134
78,189,0.23160736665402126
79,75,0.2315993026961442
80,168,0.2315318573215121
81,22,0.2314290711760163
82,70,0.23028522144807678
83,145,0.2296800979258603
84,67,0.22933120184051364
85,118,0.2289519596673123
86,157,0.22890915409878643
87,59,0.2288715512016316
88,24,0.2287635222937376
89,210,0.2275166414374925
90,6,0.22720041837242488
91,185,0.2268904334635311
92,188,0.22670796492545137
93,192,0.22571601326455754
94,104,0.22522148221804766
95,130,0.22497276693748103
96,52,0.2240532568080112
97,68,0.22381363945718424
98,206,0.22362436467464553
99,208,0.2235020036245095
100,199,0.22331859525713904
101,94,0.22324173979568152
102,90,0.2230028379203734
103,158,0.22251654392459186
104,197,0.22236825618231487
105,77,0.22139363026823589
106,25,0.22109037658321334
107,71,0.22092985844598956
108,83,0.22060575007771943
109,30,0.22060450732011128
110,129,0.2205583642625663
111,110,0.2205117313310334
112,14,0.2202754149866154
113,49,0.2201379542939808
114,196,0.21998612925187672
115,36,0.21968505240876257
116,41,0.21935471397464396
117,91,0.21920121206687365
118,205,0.21886627012879745
119,42,0.21838213355346414
120,102,0.21803890636867396
121,123,0.21801426086138848
122,85,0.2180099013913695
123,121,0.21630463996487792
124,11,0.21537592704619996
125,73,0.2149790155926436
126,63,0.21494598305810197
127,105,0.2148502767945914
128,198,0.21440073791776326
129,12,0.21391639078805114
130,76,0.21377250465571518
131,107,0.21353240003762286
132,60,0.2131018622032015
133,138,0.21261432354361942
134,50,0.2099460758468858
135,146,0.20959147089859664
136,72,0.20946527026336015
137,115,0.20939766924305592
138,20,0.2091086115865715
139,173,0.20869543097375065
140,96,0.20865682019794113
141,98,0.20789907671228958
142,116,0.20786759822356732
143,120,0.2062314884371913
144,163,0.2059131540163508
145,103,0.20545198731550135
146,79,0.2050702186746275
147,64,0.20495106510411842
148,209,0.2036939458233874
149,3,0.20350416379537267
150,80,0.20324550522726187
151,148,0.20302158571611284
152,142,0.20270475692792722
153,39,0.2025731256906615
154,172,0.20214361316405977
155,55,0.20208699288937032
156,43,0.20190866954057224
157,186,0.20178426974727243
158,56,0.2016270457114227
159,171,0.20124699473853913
160,117,0.20066087683170647
161,26,0.20003565236325455
162,170,0.19931876107636615
163,166,0.19864853620413164
164,37,0.1981114878565362
165,81,0.19794699769138346
166,125,0.1977970773476163
167,203,0.19771824610424626
168,66,0.19764336366294932
169,40,0.19742418899140785
170,202,0.19741243623868843
171,62,0.19732264479998396
172,175,0.1968202755013459
173,31,0.19670492505655002
174,177,0.19627791338785
175,28,0.19567994733131555
176,7,0.1956142768760084
177,88,0.19546660019043827
178,19,0.19542395599148815
179,27,0.19501831604220127
180,112,0.19494472815007652
181,135,0.19488754834926436
182,113,0.1942885146782637
183,194,0.19398008701054653
184,74,0.19385193555111024
185,204,0.19337203418839966
186,184,0.1933558090691896
187,140,0.19279750692481018
188,111,0.19232610698099623
189,78,0.19224847599680844
190,84,0.19204839055026413
191,161,0.19159148572797158
192,32,0.19130521168407683
193,149,0.19129586693191736
194,106,0.1909211610232588
195,183,0.19086965450241133
196,180,0.1905741088758952
197,127,0.18936766404626737
198,143,0.18926384955562842
199,65,0.18896342805004696
200,122,0.1888199796174158
201,53,0.1882036344040673
202,33,0.1876786657255748
203,174,0.18686956742007949
204,44,0.18589425484626754
205,114,0.1854909154151051
206,128,0.1854813407242994
207,38,0.18482144664183592
208,153,0.18213106822613112
209,29,0.17697242089522097
210,48,0.1759944624196742
211,109,0.17586976647458885
