rank,band_index,ssep_score_sorted
1,212,0.00033250172
2,164,0.0003320554
3,165,0.00033071646
4,214,0.00033027015
5,198,0.00032848507
6,180,0.00032803867
7,195,0.0003280386
8,205,0.0003280386
9,200,0.0003280386
10,216,0.00032759228
11,206,0.00032759228
12,170,0.00032714597
13,201,0.00032669966
14,210,0.0003262535
15,225,0.00032625342
16,223,0.00032625336
17,163,0.00032580705
18,179,0.00032580705
19,218,0.00032536074
20,208,0.00032536074
21,209,0.0003249145
22,172,0.0003249144
23,192,0.0003249144
24,176,0.0003244682
25,182,0.0003244682
26,215,0.0003244681
27,199,0.0003244681
28,228,0.00032402188
29,178,0.0003240218
30,196,0.0003240218
31,185,0.00032357557
32,177,0.00032357548
33,221,0.00032357548
34,166,0.00032312924
35,186,0.00032312924
36,235,0.00032312918
37,217,0.00032268293
38,157,0.00032268287
39,168,0.00032268287
40,203,0.00032268287
41,171,0.00032268287
42,190,0.0003222367
43,181,0.00032223656
44,213,0.00032223656
45,158,0.00032223656
46,219,0.00032179026
47,184,0.00032179026
48,193,0.00032179026
49,169,0.00032179026
50,238,0.00032179026
51,189,0.00032134407
52,175,0.000321344
53,161,0.000321344
54,230,0.000321344
55,167,0.00032134392
56,159,0.00032134392
57,197,0.00032134392
58,204,0.00032134392
59,187,0.0003208976
60,174,0.0003208976
61,173,0.0003208976
62,227,0.0003208976
63,162,0.0003204514
64,191,0.00032000514
65,188,0.00032000506
66,156,0.000320005
67,226,0.000320005
68,220,0.000320005
69,155,0.00031955875
70,222,0.00031955875
71,160,0.0003195587
72,183,0.00031911244
73,194,0.00031911238
74,207,0.00031866608
75,153,0.00031866608
76,202,0.00031777343
77,262,0.00031777343
78,154,0.0003173272
79,224,0.0003173272
80,152,0.00031732713
81,211,0.00031688082
82,233,0.0003164345
83,248,0.00031509565
84,246,0.00031509565
85,236,0.00031509565
86,229,0.0003150956
87,237,0.0003150956
88,271,0.00031464934
89,239,0.00031464925
90,232,0.00031464925
91,267,0.00031420295
92,151,0.00031375664
93,261,0.0003115251
94,231,0.00031107877
95,264,0.00031107877
96,150,0.00031107877
97,234,0.00031107877
98,149,0.00031063246
99,240,0.00031018615
100,268,0.00030973984
101,241,0.00030929354
102,272,0.00030840098
103,251,0.00030840098
104,242,0.00030840092
105,253,0.00030795461
106,260,0.00030706197
107,252,0.0003066158
108,258,0.00030661572
109,148,0.00030527674
110,257,0.0003048305
111,255,0.0003039378
112,245,0.0003039378
113,244,0.0003039378
114,147,0.00030259887
115,254,0.00030126006
116,250,0.00030125995
117,146,0.00030125995
118,247,0.0003008137
119,249,0.0003008136
120,259,0.0003008136
121,266,0.0003003674
122,256,0.00029902838
123,243,0.00029724312
124,145,0.0002967969
125,263,0.0002959042
126,270,0.0002954579
127,144,0.00029456528
128,269,0.00029233372
129,265,0.0002909948
130,143,0.00028876323
131,142,0.0002865318
132,73,0.00028296118
133,69,0.00028296118
134,70,0.0002802833
135,68,0.00027849808
136,75,0.00027805177
137,67,0.00027805177
138,72,0.00027805177
139,71,0.00027760546
140,63,0.00027715933
141,141,0.00027582026
142,74,0.0002758202
143,77,0.0002758202
144,64,0.0002749276
145,65,0.00027269602
146,66,0.00027135722
147,76,0.0002713571
148,140,0.00026867923
149,62,0.0002677866
150,79,0.00026689412
151,78,0.00026689406
152,60,0.00026466243
153,61,0.00026243087
154,21,0.0002606457
155,81,0.00025975303
156,139,0.00025796777
157,59,0.00025752158
158,58,0.00025662885
159,82,0.0002557362
160,83,0.00025528995
161,80,0.00025305842
162,23,0.00025305836
163,55,0.0002521659
164,84,0.0002508269
165,57,0.0002508269
166,30,0.00024993418
167,85,0.00024859534
168,138,0.00024814898
169,11,0.00024681
170,86,0.0002463637
171,20,0.0002445785
172,87,0.00024413229
173,17,0.00024413213
174,28,0.00024323961
175,26,0.00024323956
176,24,0.00024234694
177,19,0.00024145437
178,90,0.00024011533
179,88,0.00024011533
180,56,0.0002387764
181,27,0.00023833025
182,91,0.00023833013
183,89,0.00023833009
184,137,0.00023788377
185,22,0.00023699115
186,92,0.00023699115
187,54,0.00023609852
188,18,0.00023520591
189,25,0.0002347597
190,50,0.00023475959
191,53,0.00023475959
192,37,0.00023297434
193,52,0.00023297434
194,15,0.00023252814
195,41,0.00023252804
196,34,0.00023208173
197,40,0.00023163542
198,29,0.00023118926
199,16,0.00023118916
200,93,0.00022940392
201,48,0.00022895761
202,51,0.00022851134
203,33,0.00022806494
204,35,0.00022806494
205,12,0.00022761861
206,39,0.0002271723
207,32,0.000226726
208,136,0.00022627969
209,8,0.00022583347
210,36,0.00022583343
211,45,0.00022538712
212,31,0.00022449454
213,46,0.00022449445
214,96,0.00022404813
215,47,0.00022315556
216,43,0.00022181658
217,49,0.00022137031
218,38,0.00022137027
219,95,0.00022092395
220,94,0.00022003133
221,44,0.00021958502
222,42,0.0002186924
223,10,0.00021824613
224,7,0.00021735356
225,14,0.0002169072
226,97,0.00021467583
227,13,0.00021244405
228,4,0.00021155147
229,98,0.00021065879
230,99,0.00020931991
231,5,0.00020351792
232,6,0.00020351782
233,135,0.00020307156
234,1,0.00020307156
235,102,0.0002026252
236,100,0.00020039365
237,9,0.00019994738
238,106,0.00019771578
239,104,0.00019637684
240,103,0.0001941453
241,101,0.0001941453
242,108,0.00019369903
243,2,0.00019280636
244,3,0.00019236027
245,105,0.00019236005
246,107,0.00019236005
247,110,0.00018611169
248,109,0.00018343383
249,134,0.00018343383
250,0,0.00018254125
251,111,0.00018254125
252,112,0.00017941702
253,133,0.00017629286
254,113,0.00017584658
255,114,0.00016825926
256,116,0.00016736663
257,115,0.0001646888
258,119,0.00016067196
259,118,0.00015844041
260,117,0.00015754782
261,132,0.00015576258
262,120,0.00015219212
263,121,0.00015085313
264,123,0.00014728267
265,122,0.00014594373
266,131,0.0001454974
267,127,0.00014505108
268,125,0.00014281952
269,126,0.00014103431
270,130,0.00014103428
271,128,0.00013969537
272,124,0.00013969534
273,129,0.00013791013
