dataset,patch_size,top_k,run,OA,kappa,f1_macro
indian_pines,3,10,0,77.43203406485424,0.740933771334612,75.45170802347909
indian_pines,3,10,1,81.06780216180806,0.7832797253897783,80.66989960339441
indian_pines,3,10,2,84.83458892892237,0.82681454389343,87.12838059842503
indian_pines,3,10,3,76.02358336062889,0.7293797617162013,79.30003024591174
indian_pines,3,10,4,79.56108745496233,0.7671383373352245,75.13106822375978
indian_pines,5,10,0,85.36021150033048,0.8337081929961387,88.17963538580109
indian_pines,5,10,1,71.74487772637144,0.6888844957400686,79.70345439530696
indian_pines,5,10,2,85.12888301387972,0.8288661151640432,81.27117834033054
indian_pines,5,10,3,80.27098479841375,0.7781460357273252,77.9613597916349
indian_pines,5,10,4,82.55122273628552,0.801208257358444,77.9589453897238
indian_pines,7,10,0,74.45815271757252,0.7093999967869011,77.42456043223504
indian_pines,7,10,1,87.06235411803934,0.8502236517789876,85.19932276639959
indian_pines,7,10,2,69.5565188396132,0.6637732189265348,80.96256093440293
indian_pines,7,10,3,89.76325441813938,0.883207889001111,91.80228564025133
indian_pines,7,10,4,86.02867622540847,0.8429335791236247,87.98921663591281
paviaU,3,15,0,97.45589161940768,0.9662904800746448,97.10300506602647
paviaU,3,15,1,90.87901701323251,0.8762194957261198,90.82063170859989
paviaU,3,15,2,96.73913043478261,0.956611022047089,96.15220803409295
paviaU,3,15,3,93.47038437303088,0.9156565153365417,95.0556571907332
paviaU,3,15,4,90.76086956521739,0.8737502950471925,91.23500903818977
paviaU,5,15,0,95.24492234169654,0.9365343351682375,95.16906603935821
paviaU,5,15,1,96.01752289924332,0.9471337823198811,95.52616713128708
paviaU,5,15,2,97.10075667064915,0.9616951294497377,96.10881167054896
paviaU,5,15,3,98.66188769414576,0.9823711408913458,98.04213693787275
paviaU,5,15,4,90.0915969733174,0.8654753084837474,90.62757461693192
paviaU,7,15,0,91.50016113438608,0.8852594494473129,92.43631168055418
paviaU,7,15,1,98.25169191105381,0.9771209468336071,97.24086205711173
paviaU,7,15,2,97.76828875281986,0.9706146261747742,97.4543991517876
paviaU,7,15,3,99.26683854334514,0.9903800858001923,98.97223507391753
paviaU,7,15,4,99.37157589429584,0.9917631632238377,99.07641961070526
montana,3,15,0,48.90829694323144,0.2542585170340681,30.412973335724892
montana,3,15,1,47.59825327510917,0.22843665768194066,28.08910063008424
montana,3,15,2,48.03493449781659,0.24110947116321801,36.3562039493074
montana,3,15,3,44.54148471615721,0.17007676283423212,27.335233108462877
montana,3,15,4,50.65502183406113,0.26270051571359365,41.06699534135144
montana,5,15,0,55.26315789473685,0.3447168216398985,41.17427024217327
montana,5,15,1,52.63157894736842,0.30077237619263975,42.67242105875002
montana,5,15,2,49.56140350877193,0.26032498307379826,41.092582036136186
montana,5,15,3,51.31578947368421,0.2825717201496768,47.10389637103202
montana,5,15,4,53.94736842105263,0.3214285714285714,41.67245258759241
montana,7,15,0,60.08771929824561,0.42554958746331484,56.59448997604337
montana,7,15,1,55.26315789473685,0.34795042897998096,51.539978130904565
montana,7,15,2,55.70175438596491,0.36402551851749576,55.09247961843492
montana,7,15,3,53.07017543859649,0.3183951721054984,47.982174688057036
montana,7,15,4,54.385964912280706,0.32369299221357073,52.82050813337249
